4 Suits,2,4,1,3,1
4 Suits,3,12,1,2,1
4 Suits,4,2,1,3,1
4 Suits,6,1,1,2,1
6 Suits,2,8,1,4,1
6 Suits,3,1,1,2,1
6 Suits,4,5,1,15,1
6 Suits,5,11,1,4,1
Ambiguous (6 Suits),2,2,1,2,1
Black (5 Suits),4,18,1,9,1
Black (6 Suits),2,23,1,31,1
Black (6 Suits),3,11,1,6,1
Black (6 Suits),4,6,1,9,1
Black (6 Suits),5,6,1,31,1
Dark Prism (5 Suits),2,4,1,10,1
Dark Rainbow (5 Suits),2,4,1,1,1
Dark Rainbow (5 Suits),3,4,1,4,1
Dark Rainbow (6 Suits),3,5,1,1,1
Dual-Color & Rainbow (6 Suits),3,1,1,5,1
Dual-Color (5 Suits),3,1,1,1,1
Dual-Color (6 Suits),3,3,1,5,1
Muddy Rainbow (5 Suits),3,1,1,4,1
No Variant,2,5,1,3,1
No Variant,3,7,1,2,1
No Variant,4,4,1,3,1
No Variant,5,11,1,3,1
No Variant,6,9,1,4,1
Pink (6 Suits),2,10,1,1,1
Prism (6 Suits),4,1,1,1,1
Rainbow & White (5 Suits),3,1,1,4,1
Rainbow (3 Suits),2,1,1,1,1
Rainbow (3 Suits),4,1,1,5,1
Rainbow (5 Suits),3,2,1,2,1
Rainbow (5 Suits),4,15,1,2,1
Rainbow (5 Suits),5,5,1,6,1
Rainbow (6 Suits),2,9,1,8,1
Rainbow (6 Suits),3,13,1,7,1
Rainbow (6 Suits),4,4,1,1,1
Rainbow (6 Suits),5,4,1,3,1
Up or Down (5 Suits),3,5,1,4,1
White (4 Suits),3,1,1,7,1
White (5 Suits),3,3,1,4,1
White (5 Suits),4,2,1,5,1
White (5 Suits),5,2,1,2,1
