3 Suits,2,2,1,2,1
3 Suits,3,5,1,4,1
4 Suits,2,1,1,3,1
4 Suits,3,1,1,2,1
6 Suits,2,9,1,15,1
6 Suits,3,5,1,1,1
Black (5 Suits),2,9,1,3,1
Black (5 Suits),3,5,1,4,1
Black (6 Suits),2,16,1,10,1
Black (6 Suits),3,3,1,9,1
Brown (5 Suits),4,7,1,1,1
No Variant,2,1,1,12,1
No Variant,3,1,1,3,1
No Variant,4,1,1,5,1
No Variant,5,3,1,6,1
Prism (3 Suits),2,1,1,1,1
Prism (4 Suits),4,1,1,1,1
Prism (5 Suits),4,1,1,2,1
Prism (6 Suits),2,8,1,2,1
Prism Reversed (5 Suits),3,2,1,1,1
Rainbow & Prism (6 Suits),4,1,1,1,1
Rainbow & White (3 Suits),2,1,1,1,1
Rainbow (3 Suits),2,1,1,1,1
Rainbow (4 Suits),2,10,1,1,1
Rainbow (4 Suits),3,2,1,1,1
Rainbow (4 Suits),4,2,1,4,1
Rainbow (5 Suits),3,2,1,5,1
Rainbow (5 Suits),4,4,1,3,1
Rainbow (5 Suits),5,3,1,1,1
Rainbow (6 Suits),2,2,1,5,1
Rainbow (6 Suits),3,1,1,5,1
Rainbow (6 Suits),4,4,1,3,1
Up or Down (5 Suits),3,5,1,2,1
White (3 Suits),2,2,1,1,1
White (3 Suits),4,1,1,1,1
White (5 Suits),3,1,1,1,1
White (5 Suits),4,1,1,2,1
White (6 Suits),3,4,1,2,1
White (6 Suits),4,7,1,2,1
