3 Suits,2,1,1,1,1
6 Suits,2,1,1,17,1
6 Suits,4,3,1,1,1
Black (6 Suits),4,18,1,2,1
Brown (3 Suits),3,4,1,1,1
Brown (6 Suits),3,1,1,2,1
Dark Rainbow (5 Suits),4,6,1,2,1
Dual-Color (5 Suits),5,2,1,2,1
Dual-Color (6 Suits),4,1,1,1,1
Dual-Color (6 Suits),5,2,1,1,1
Gray Pink (5 Suits),3,2,1,1,1
Light Pink (5 Suits),3,1,1,1,1
No Variant,2,8,1,1,1
No Variant,3,3,1,2,1
No Variant,4,4,1,2,1
No Variant,5,2,1,6,1
Null (5 Suits),3,2,1,3,1
Pink (6 Suits),2,4,1,9,1
Rainbow & White (4 Suits),4,2,1,2,1
Rainbow (3 Suits),4,1,1,3,1
Rainbow (4 Suits),4,4,1,3,1
Rainbow (6 Suits),3,6,1,6,1
Rainbow (6 Suits),4,2,1,2,1
Up or Down (5 Suits),4,5,1,4,1
White (5 Suits),4,4,1,2,1
White (5 Suits),6,1,1,1,1
White (6 Suits),4,6,1,2,1
White-Ones & Brown (5 Suits),4,2,1,2,1
White-Ones (5 Suits),3,1,1,3,1
