3 Suits,2,2,1,4,1
4 Suits,3,1,1,1,1
4 Suits,4,2,1,1,1
6 Suits,4,1,1,1,1
Dual-Color (5 Suits),4,6,1,1,1
No Variant,2,5,1,1,1
No Variant,3,4,1,6,1
No Variant,4,6,1,2,1
No Variant,5,6,1,1,1
Pink (5 Suits),3,1,1,1,1
Pink (6 Suits),3,1,1,10,1
Prism (5 Suits),3,2,1,4,1
Prism (6 Suits),3,1,1,3,1
Rainbow & Prism (4 Suits),3,2,1,1,1
Rainbow & Prism (5 Suits),3,1,1,6,1
Rainbow & Prism (6 Suits),3,1,1,2,1
Rainbow & White (5 Suits),4,3,1,2,1
Rainbow (3 Suits),2,3,1,2,1
Rainbow (4 Suits),3,2,1,12,1
Rainbow (5 Suits),2,3,1,1,1
Rainbow (5 Suits),6,3,1,1,1
Rainbow (6 Suits),3,1,1,2,1
Reversed (5 Suits),4,1,1,1,1
