3 Suits,2,2,1,1,1
4 Suits,2,1,1,2,1
4 Suits,3,1,1,1,1
4 Suits,4,3,1,1,1
6 Suits,3,3,1,2,1
Black & Brown (5 Suits),3,4,1,1,1
Black & Pink (6 Suits),4,1,1,7,1
Black (5 Suits),3,4,1,3,1
Black (5 Suits),6,1,1,1,1
Brown (3 Suits),2,4,1,2,1
Brown (3 Suits),3,2,1,4,1
Brown (5 Suits),5,2,1,4,1
Brown (6 Suits),4,1,1,12,1
Dark Brown (5 Suits),3,8,1,1,1
Dark Pink (5 Suits),2,1,1,1,1
Dark Rainbow (5 Suits),4,5,1,2,1
Dark Rainbow (6 Suits),3,1,1,17,1
Gray (6 Suits),4,2,1,1,1
Gray Pink (5 Suits),4,1,1,6,1
Light Pink (3 Suits),3,2,1,2,1
Light Pink (4 Suits),4,1,1,1,1
Muddy Rainbow (5 Suits),4,3,1,5,1
Muddy Rainbow (6 Suits),5,2,1,4,1
No Variant,2,6,1,1,1
No Variant,3,2,1,2,1
No Variant,4,2,1,9,1
No Variant,5,14,1,1,1
No Variant,6,3,1,6,1
Omni (4 Suits),3,3,1,2,1
Omni (4 Suits),4,3,1,2,1
Omni (5 Suits),3,4,1,2,1
Pink & White (5 Suits),3,2,1,1,1
Pink (4 Suits),3,1,1,1,1
Pink (5 Suits),2,1,1,1,1
Pink (5 Suits),3,1,1,4,1
Pink (5 Suits),4,3,1,2,1
Pink (5 Suits),5,3,1,5,1
Pink (5 Suits),6,1,1,7,1
Pink (6 Suits),5,3,1,6,1
Pink (6 Suits),6,1,1,1,1
Prism (4 Suits),3,1,1,1,1
Prism (4 Suits),6,1,1,1,1
Prism (5 Suits),3,1,1,1,1
Rainbow & Brown (4 Suits),3,1,1,4,1
Rainbow & White (5 Suits),3,4,1,6,1
Rainbow & White (5 Suits),5,1,1,4,1
Rainbow (3 Suits),2,1,1,1,1
Rainbow (4 Suits),3,2,1,2,1
Rainbow (6 Suits),2,3,1,1,1
Rainbow (6 Suits),3,4,1,14,1
Rainbow (6 Suits),4,7,1,7,1
Reversed (5 Suits),3,1,1,2,1
Throw It in a Hole (5 Suits),6,2,1,5,1
Up or Down (5 Suits),4,5,1,7,1
White & Prism (6 Suits),6,1,1,2,1
White (4 Suits),3,1,1,1,1
White (5 Suits),5,1,1,1,1
White (6 Suits),3,1,1,1,1
White (6 Suits),4,2,1,2,1
