3 Suits,4,7,1,2,1
4 Suits,3,1,1,1,1
4 Suits,4,1,1,1,1
4 Suits,5,4,1,3,1
6 Suits,3,1,1,6,1
6 Suits,4,3,1,1,1
Ambiguous (6 Suits),5,3,1,5,1
Black (5 Suits),4,6,1,22,1
Black (6 Suits),3,2,1,2,1
Black (6 Suits),4,3,1,2,1
Brown (3 Suits),4,5,1,2,1
Brown (4 Suits),4,1,1,2,1
Brown (6 Suits),4,3,1,2,1
Brown (6 Suits),5,1,1,1,1
Dual-Color & Rainbow (6 Suits),4,1,1,1,1
Gray (6 Suits),4,8,1,9,1
No Variant,3,1,1,9,1
No Variant,4,2,1,6,1
No Variant,5,3,1,6,1
No Variant,6,4,1,1,1
Pink (4 Suits),3,1,1,2,1
Pink (4 Suits),4,2,1,4,1
Pink (5 Suits),3,8,1,2,1
Prism (6 Suits),3,2,1,2,1
Rainbow & Pink (6 Suits),4,1,1,4,1
Rainbow & White (4 Suits),3,1,1,1,1
Rainbow (4 Suits),3,3,1,4,1
Rainbow (4 Suits),4,4,1,4,1
Rainbow (5 Suits),3,1,1,4,1
Rainbow (5 Suits),4,7,1,9,1
Rainbow (5 Suits),5,6,1,2,1
Rainbow (6 Suits),3,1,1,6,1
Rainbow (6 Suits),4,4,1,2,1
Rainbow (6 Suits),5,9,1,4,1
White (4 Suits),4,3,1,2,1
White (5 Suits),4,2,1,2,1
White (6 Suits),4,4,1,2,1
