3 Suits,2,2,1,2,1
4 Suits,2,1,1,1,1
6 Suits,3,5,1,1,1
Black & Pink (6 Suits),4,4,1,1,1
Black & Rainbow (5 Suits),2,19,1,6,1
Black (5 Suits),3,5,1,6,1
Black (5 Suits),4,4,1,3,1
Black (6 Suits),3,3,1,6,1
Black (6 Suits),4,9,1,2,1
Black (6 Suits),5,7,1,2,1
Brown (5 Suits),3,2,1,1,1
Brown (5 Suits),4,7,1,2,1
Brown (5 Suits),5,1,1,7,1
Brown (6 Suits),3,2,1,1,1
Brown (6 Suits),4,1,1,5,1
Light Pink (5 Suits),3,1,1,2,1
Light Pink (5 Suits),4,2,1,4,1
Light Pink (6 Suits),3,10,1,1,1
No Variant,2,1,1,4,1
No Variant,3,1,1,2,1
No Variant,4,1,1,2,1
No Variant,5,3,1,1,1
No Variant,6,2,1,3,1
Pink (4 Suits),3,1,1,1,1
Rainbow & Brown (5 Suits),3,4,1,2,1
Rainbow & White (5 Suits),4,2,1,2,1
Rainbow (4 Suits),2,10,1,2,1
Rainbow (5 Suits),3,2,1,5,1
Rainbow (5 Suits),4,4,1,1,1
Rainbow (6 Suits),3,1,1,1,1
Rainbow (6 Suits),4,4,1,2,1
Rainbow (6 Suits),5,15,1,10,1
White (5 Suits),3,1,1,2,1
White (5 Suits),4,1,1,3,1
White (6 Suits),4,7,1,5,1
White (6 Suits),5,1,1,1,1
