3 Suits,2,2,1,2,1
4 Suits,2,1,1,1,1
6 Suits,2,1,1,1,1
Black & White (5 Suits),2,3,1,4,1
Black (5 Suits),2,6,1,3,1
Brown (6 Suits),3,2,1,1,1
Cocoa Rainbow (6 Suits),3,2,1,2,1
Dark Brown (5 Suits),2,2,1,8,1
Dark Omni (5 Suits),2,5,1,11,1
Dark Prism (5 Suits),2,4,1,4,1
Dark Rainbow (6 Suits),2,6,1,4,1
Dual-Color (5 Suits),3,1,1,6,1
Dual-Color (6 Suits),3,2,1,2,1
Gray (5 Suits),2,1,1,8,1
Light Pink (5 Suits),2,1,1,7,1
Muddy Rainbow (5 Suits),3,2,1,1,1
No Variant,2,2,1,3,1
No Variant,3,4,1,3,1
No Variant,4,8,1,9,1
No Variant,5,2,1,9,1
Null (5 Suits),4,1,1,1,1
Pink (5 Suits),2,2,1,2,1
Pink (5 Suits),3,1,1,2,1
Prism (5 Suits),2,1,1,1,1
Rainbow & Prism (5 Suits),2,2,1,1,1
Rainbow (3 Suits),2,2,1,1,1
Rainbow (4 Suits),2,1,1,1,1
Rainbow (5 Suits),2,1,1,1,1
Rainbow (5 Suits),3,4,1,3,1
Rainbow (6 Suits),2,1,1,1,1
Rainbow (6 Suits),3,1,1,2,1
Rainbow (6 Suits),5,3,1,2,1
White (5 Suits),2,9,1,1,1
White Reversed (5 Suits),3,1,1,1,1
