3 Suits,2,2,1,2,1
3 Suits,4,2,1,4,1
4 Suits,2,2,1,2,1
4 Suits,3,1,1,1,1
4 Suits,4,1,1,1,1
6 Suits,2,21,1,1,1
6 Suits,3,1,1,7,1
6 Suits,4,1,1,10,1
6 Suits,5,7,1,3,1
6 Suits,6,8,1,5,1
Ambiguous & White (3 Suits),3,1,1,1,1
Ambiguous (6 Suits),6,2,1,2,1
Black & Muddy Rainbow (5 Suits),4,13,1,1,1
Black & White (5 Suits),2,6,1,2,1
Black & White (5 Suits),3,4,1,4,1
Black & White (5 Suits),4,21,1,3,1
Black (5 Suits),2,49,1,5,1
Black (5 Suits),4,5,1,1,1
Black (6 Suits),2,33,1,7,1
Black (6 Suits),3,9,1,2,1
Brown (3 Suits),3,17,1,2,1
Brown (4 Suits),3,1,1,1,1
Brown (4 Suits),5,2,1,4,1
Brown (5 Suits),2,18,1,1,1
Brown (5 Suits),3,2,1,7,1
Brown (5 Suits),6,1,1,4,1
Brown (6 Suits),3,3,1,1,1
Brown (6 Suits),5,10,1,4,1
Brown-Fives & White (4 Suits),4,1,1,1,1
Clue Starved (5 Suits),6,1,1,5,1
Dark Pink (5 Suits),4,23,1,4,1
Dark Pink (6 Suits),3,9,1,2,1
Dark Prism Reversed (5 Suits),2,6,1,6,1
Dark Rainbow (5 Suits),2,3,1,1,1
Dark Rainbow (6 Suits),3,7,1,5,1
Dark Rainbow (6 Suits),4,37,1,2,1
Dual-Color & White (6 Suits),3,1,1,2,1
Dual-Color (6 Suits),4,2,1,8,1
Extremely Ambiguous & White (6 Suits),3,1,1,1,1
Gray (6 Suits),3,13,1,1,1
Light Pink (5 Suits),3,1,1,1,1
Light Pink (6 Suits),5,1,1,1,1
Muddy Rainbow (4 Suits),4,1,1,2,1
Muddy Rainbow (5 Suits),5,2,1,2,1
No Variant,2,2,1,4,1
No Variant,3,9,1,5,1
No Variant,4,15,1,4,1
No Variant,5,7,1,7,1
No Variant,6,8,1,5,1
Null (6 Suits),5,13,1,2,1
Omni (5 Suits),4,1,1,2,1
Omni-Fives (5 Suits),3,2,1,2,1
Pink (3 Suits),4,5,1,1,1
Pink (4 Suits),3,1,1,1,1
Pink (5 Suits),3,3,1,1,1
Pink (5 Suits),4,6,1,1,1
Pink (5 Suits),5,9,1,2,1
Pink (6 Suits),3,3,1,1,1
Pink-Fives & White (6 Suits),4,3,1,3,1
Prism (5 Suits),2,2,1,2,1
Prism (6 Suits),3,10,1,1,1
Rainbow & Brown (6 Suits),5,4,1,6,1
Rainbow & White (6 Suits),3,7,1,4,1
Rainbow (4 Suits),2,1,1,2,1
Rainbow (4 Suits),4,1,1,2,1
Rainbow (5 Suits),2,4,1,3,1
Rainbow (5 Suits),3,1,1,1,1
Rainbow (5 Suits),4,13,1,4,1
Rainbow (5 Suits),5,1,1,7,1
Rainbow (5 Suits),6,3,1,1,1
Rainbow (6 Suits),2,3,1,1,1
Rainbow (6 Suits),3,8,1,4,1
Rainbow (6 Suits),4,4,1,4,1
Rainbow (6 Suits),5,38,1,3,1
Rainbow (6 Suits),6,6,1,2,1
Rainbow-Ones (5 Suits),3,5,1,1,1
Reversed (4 Suits),2,17,1,2,1
Reversed (4 Suits),5,1,1,1,1
Reversed (6 Suits),4,1,1,2,1
Special Mix (5 Suits),4,16,1,5,1
Throw It in a Hole (5 Suits),4,1,1,2,1
Up or Down & Brown (6 Suits),4,2,1,1,1
Up or Down (5 Suits),4,3,1,1,1
White & Light Pink (5 Suits),4,1,1,1,1
White (4 Suits),2,5,1,1,1
White (4 Suits),3,1,1,1,1
White (5 Suits),2,8,1,1,1
White (5 Suits),3,16,1,2,1
White (5 Suits),4,7,1,1,1
White (5 Suits),5,2,1,6,1
White (6 Suits),2,5,1,6,1
White (6 Suits),3,6,1,1,1
White (6 Suits),4,1,1,2,1
White (6 Suits),5,21,1,3,1
White Reversed (6 Suits),3,2,1,48,1
White-Ones (5 Suits),3,2,1,1,1
