6 Suits,3,2,1,3,1
6 Suits,5,2,1,1,1
Black (6 Suits),3,36,1,5,1
Black (6 Suits),5,8,1,4,1
Dark Rainbow (6 Suits),3,1,1,1,1
Dual-Color (5 Suits),3,1,1,1,1
Dual-Color (6 Suits),3,4,1,1,1
No Variant,3,1,1,4,1
No Variant,4,1,1,4,1
No Variant,5,13,1,6,1
Pink (3 Suits),3,2,1,10,1
Pink (6 Suits),5,1,1,1,1
Prism (6 Suits),4,1,1,3,1
Rainbow (4 Suits),3,6,1,3,1
Rainbow (5 Suits),3,1,1,1,1
Rainbow (5 Suits),4,3,1,2,1
Rainbow (6 Suits),3,3,1,18,1
Rainbow (6 Suits),6,2,1,1,1
White (5 Suits),3,4,1,1,1
