3 Suits,2,2,1,1,1
4 Suits,2,2,1,1,1
4 Suits,3,3,1,1,1
4 Suits,5,14,1,1,1
6 Suits,2,10,1,3,1
6 Suits,3,2,1,4,1
6 Suits,4,6,1,1,1
Alternating Clues (6 Suits),3,2,1,1,1
Black & Brown (5 Suits),3,2,1,5,1
Black & Brown (5 Suits),4,1,1,4,1
Black & Pink (5 Suits),3,3,1,4,1
Black & Pink (5 Suits),4,29,1,1,1
Black & Rainbow (5 Suits),2,9,1,5,1
Black & Rainbow (5 Suits),3,12,1,3,1
Black & White (5 Suits),3,3,1,3,1
Black & White (6 Suits),5,11,1,1,1
Black (5 Suits),2,34,1,2,1
Black (5 Suits),3,3,1,3,1
Black (5 Suits),4,6,1,5,1
Black (6 Suits),3,11,1,1,1
Black (6 Suits),6,35,1,2,1
Black Reversed (6 Suits),3,2,1,1,1
Brown (3 Suits),3,6,1,4,1
Brown (3 Suits),4,7,1,2,1
Brown (5 Suits),2,11,1,1,1
Brown (6 Suits),2,2,1,2,1
Brown-Fives (5 Suits),6,1,1,1,1
Clue Starved (6 Suits),2,9,1,6,1
Cocoa Rainbow (6 Suits),5,8,1,4,1
Dark Brown (5 Suits),3,3,1,1,1
Dark Brown (5 Suits),4,16,1,6,1
Dark Brown (6 Suits),4,3,1,3,1
Dark Omni (5 Suits),3,1,1,1,1
Dark Omni (6 Suits),3,5,1,1,1
Dark Pink (6 Suits),3,8,1,2,1
Dark Pink (6 Suits),4,8,1,2,1
Dark Rainbow (5 Suits),2,5,1,4,1
Dark Rainbow (6 Suits),3,2,1,1,1
Extremely Ambiguous (4 Suits),4,3,1,1,1
Gray (5 Suits),2,20,1,3,1
Gray (5 Suits),3,23,1,1,1
Gray (6 Suits),2,17,1,5,1
Gray (6 Suits),4,4,1,2,1
Light Pink (4 Suits),2,5,1,1,1
Light Pink (6 Suits),3,3,1,2,1
Light Pink (6 Suits),4,1,1,1,1
Light-Pink-Ones & White (5 Suits),4,2,1,1,1
Muddy Rainbow (3 Suits),4,2,1,1,1
Muddy Rainbow (4 Suits),3,3,1,1,1
Muddy Rainbow (5 Suits),5,6,1,2,1
Muddy Rainbow (6 Suits),4,1,1,1,1
No Variant,2,10,1,1,1
No Variant,3,1,1,1,1
No Variant,4,5,1,2,1
No Variant,5,1,1,1,1
No Variant,6,4,1,8,1
Null (4 Suits),2,8,1,2,1
Null (5 Suits),4,3,1,4,1
Omni (3 Suits),3,2,1,1,1
Omni (5 Suits),5,10,1,1,1
Omni (6 Suits),2,2,1,1,1
Pink & Cocoa Rainbow (6 Suits),4,1,1,1,1
Pink & Muddy Rainbow (5 Suits),3,1,1,2,1
Pink & Omni (5 Suits),3,4,1,1,1
Pink & White (4 Suits),4,4,1,2,1
Pink & White (6 Suits),4,1,1,1,1
Pink (3 Suits),4,3,1,1,1
Pink (4 Suits),3,1,1,1,1
Pink (4 Suits),4,3,1,1,1
Pink (5 Suits),3,4,1,2,1
Pink (5 Suits),4,2,1,2,1
Pink (5 Suits),6,1,1,1,1
Pink (6 Suits),4,1,1,1,1
Prism (3 Suits),2,1,1,6,1
Prism (4 Suits),3,3,1,1,1
Prism (4 Suits),5,6,1,1,1
Prism (6 Suits),2,1,1,6,1
Rainbow & Dark Omni (6 Suits),3,1,1,2,1
Rainbow & Gray (5 Suits),4,5,1,1,1
Rainbow & Light Pink (5 Suits),4,2,1,1,1
Rainbow & Muddy Rainbow (5 Suits),3,1,1,1,1
Rainbow & Pink (5 Suits),5,6,1,1,1
Rainbow & Prism (5 Suits),3,3,1,3,1
Rainbow & White (4 Suits),4,1,1,3,1
Rainbow (3 Suits),2,1,1,1,1
Rainbow (3 Suits),4,6,1,2,1
Rainbow (4 Suits),4,1,1,1,1
Rainbow (5 Suits),4,5,1,2,1
Rainbow (5 Suits),5,12,1,1,1
Rainbow (6 Suits),2,1,1,2,1
Rainbow (6 Suits),3,1,1,1,1
Rainbow (6 Suits),4,14,1,3,1
Rainbow (6 Suits),5,4,1,5,1
Rainbow Reversed (6 Suits),5,5,1,1,1
Rainbow-Fives (6 Suits),6,1,1,1,1
Reversed (4 Suits),4,1,1,4,1
Reversed (5 Suits),3,3,1,1,1
Reversed (5 Suits),4,2,1,3,1
Reversed (6 Suits),4,2,1,1,1
Up or Down & Brown (6 Suits),4,3,1,1,1
Up or Down & Null (5 Suits),2,12,1,2,1
Up or Down & Omni (5 Suits),2,5,1,1,1
Up or Down & Omni (6 Suits),4,6,1,3,1
Up or Down & Rainbow (6 Suits),2,1,1,5,1
Up or Down & White (5 Suits),3,14,1,4,1
Up or Down (5 Suits),3,1,1,4,1
Up or Down (6 Suits),5,11,1,2,1
White & Brown (6 Suits),3,3,1,1,1
White & Brown (6 Suits),4,1,1,2,1
White (3 Suits),3,2,1,1,1
White (4 Suits),4,3,1,1,1
White (5 Suits),3,4,1,1,1
White (5 Suits),4,2,1,1,1
White (5 Suits),5,2,1,1,1
White (6 Suits),2,9,1,2,1
White (6 Suits),4,1,1,1,1
White Reversed (4 Suits),2,2,1,1,1
White Reversed (6 Suits),2,14,1,2,1
White-Ones & White (5 Suits),5,2,1,2,1
