4 Suits,4,3,1,1,1
6 Suits,2,10,1,21,1
6 Suits,3,11,1,9,1
6 Suits,4,5,1,1,1
6 Suits,5,1,1,10,1
Black (5 Suits),4,11,1,3,1
Black (6 Suits),3,7,1,21,1
Black (6 Suits),4,1,1,3,1
Black (6 Suits),5,18,1,3,1
Brown (5 Suits),6,1,1,2,1
Dark Rainbow (6 Suits),3,9,1,22,1
Dual-Color & Rainbow (6 Suits),3,4,1,1,1
Dual-Color (6 Suits),4,3,1,5,1
Dual-Color Mix,3,3,1,1,1
No Variant,3,1,1,4,1
No Variant,4,5,1,3,1
No Variant,5,4,1,1,1
Rainbow (4 Suits),3,1,1,1,1
Rainbow (5 Suits),4,5,1,1,1
Rainbow (5 Suits),5,12,1,1,1
Rainbow (6 Suits),3,2,1,23,1
Rainbow (6 Suits),4,6,1,19,1
Very Ambiguous (6 Suits),4,1,1,2,1
White & Prism (6 Suits),4,4,1,1,1
White (5 Suits),3,6,1,1,1
White (5 Suits),4,2,1,1,1
