4 Suits,4,1,1,1,1
6 Suits,5,1,1,8,1
Brown (4 Suits),3,1,1,1,1
Brown (4 Suits),4,3,1,1,1
Brown (5 Suits),3,1,1,4,1
Brown (5 Suits),4,1,1,2,1
Brown (6 Suits),4,5,1,9,1
Dark Brown (5 Suits),3,1,1,7,1
Gray (6 Suits),4,1,1,2,1
Light Pink (5 Suits),3,1,1,2,1
Light Pink (5 Suits),4,1,1,1,1
Light Pink (6 Suits),3,1,1,3,1
Muddy Rainbow (5 Suits),3,1,1,2,1
No Variant,2,1,1,7,1
No Variant,3,10,1,3,1
No Variant,4,9,1,4,1
No Variant,5,1,1,3,1
Pink & Prism (4 Suits),4,1,1,1,1
Pink (4 Suits),3,3,1,1,1
Pink (6 Suits),5,4,1,3,1
Prism (5 Suits),3,3,1,1,1
Rainbow & Prism (5 Suits),4,1,1,3,1
Rainbow (4 Suits),4,3,1,4,1
Rainbow (5 Suits),3,3,1,4,1
Rainbow (6 Suits),4,1,1,1,1
Rainbow (6 Suits),5,1,1,5,1
Reversed (6 Suits),5,1,1,2,1
Up or Down (6 Suits),4,1,1,3,1
White & Prism (5 Suits),4,1,1,2,1
White (3 Suits),4,1,1,1,1
White (5 Suits),3,1,1,1,1
