3 Suits,2,2,1,1,1
3 Suits,3,2,1,1,1
3 Suits,4,2,1,10,1
4 Suits,2,2,1,1,1
4 Suits,3,1,1,4,1
4 Suits,4,1,1,3,1
4 Suits,5,11,1,23,1
4 Suits,6,2,1,10,1
6 Suits,2,21,1,6,1
6 Suits,3,1,1,3,1
6 Suits,4,1,1,3,1
6 Suits,5,7,1,2,1
6 Suits,6,8,1,7,1
Ambiguous & Rainbow (5 Suits),3,4,1,1,1
Ambiguous & Rainbow (5 Suits),4,1,1,1,1
Ambiguous & White (5 Suits),3,9,1,2,1
Ambiguous & White (5 Suits),4,1,1,1,1
Ambiguous (4 Suits),3,2,1,2,1
Ambiguous (6 Suits),3,4,1,2,1
Ambiguous (6 Suits),4,3,1,1,1
Black & Brown (5 Suits),3,1,1,2,1
Black & Brown (6 Suits),4,11,1,4,1
Black & Pink (6 Suits),3,13,1,3,1
Black & Rainbow (5 Suits),3,6,1,18,1
Black & Rainbow (6 Suits),3,13,1,9,1
Black & White (5 Suits),3,4,1,7,1
Black & White (5 Suits),4,21,1,12,1
Black & White (6 Suits),3,1,1,2,1
Black & White (6 Suits),4,7,1,3,1
Black (5 Suits),2,49,1,2,1
Black (5 Suits),3,32,1,6,1
Black (5 Suits),4,5,1,12,1
Black (6 Suits),2,33,1,11,1
Black (6 Suits),3,9,1,9,1
Black (6 Suits),4,27,1,7,1
Brown (3 Suits),2,1,1,2,1
Brown (3 Suits),3,17,1,4,1
Brown (3 Suits),4,6,1,14,1
Brown (4 Suits),2,8,1,15,1
Brown (4 Suits),3,1,1,1,1
Brown (4 Suits),4,2,1,1,1
Brown (4 Suits),5,2,1,2,1
Brown (5 Suits),3,2,1,2,1
Brown (5 Suits),4,1,1,2,1
Brown (5 Suits),5,3,1,1,1
Brown (5 Suits),6,1,1,2,1
Brown (6 Suits),3,3,1,6,1
Brown (6 Suits),4,2,1,3,1
Brown (6 Suits),5,10,1,6,1
Dark Brown (5 Suits),2,31,1,24,1
Dark Brown (5 Suits),3,1,1,2,1
Dark Brown (5 Suits),4,7,1,6,1
Dark Omni (5 Suits),3,6,1,2,1
Dark Prism (5 Suits),3,10,1,1,1
Dark Rainbow (5 Suits),2,3,1,1,1
Dark Rainbow (5 Suits),3,8,1,15,1
Dark Rainbow (5 Suits),4,1,1,5,1
Dark Rainbow (6 Suits),2,39,1,3,1
Dark Rainbow (6 Suits),5,10,1,4,1
Deceptive-Ones (4 Suits),3,3,1,5,1
Dual-Color & Rainbow (4 Suits),3,1,1,4,1
Dual-Color (5 Suits),5,2,1,1,1
Dual-Color (6 Suits),3,2,1,8,1
Dual-Color (6 Suits),4,2,1,4,1
Dual-Color (6 Suits),5,1,1,6,1
Gray (5 Suits),3,2,1,18,1
Gray (6 Suits),3,13,1,13,1
Gray (6 Suits),4,13,1,10,1
Gray Pink (5 Suits),3,8,1,2,1
Light Pink (3 Suits),3,5,1,4,1
Light Pink (4 Suits),3,1,1,7,1
Light Pink (4 Suits),4,1,1,1,1
Light Pink (5 Suits),3,1,1,1,1
Light Pink (5 Suits),5,1,1,6,1
Muddy Rainbow (4 Suits),3,3,1,1,1
Muddy Rainbow (4 Suits),4,1,1,3,1
Muddy Rainbow (5 Suits),4,2,1,1,1
No Variant,2,2,1,3,1
No Variant,3,9,1,2,1
No Variant,4,15,1,9,1
No Variant,5,7,1,13,1
No Variant,6,8,1,6,1
Null (3 Suits),3,13,1,36,1
Null (4 Suits),3,1,1,1,1
Null (4 Suits),4,9,1,1,1
Null (5 Suits),3,15,1,4,1
Null (6 Suits),3,1,1,2,1
Null (6 Suits),4,4,1,1,1
Null (6 Suits),5,13,1,1,1
Omni (4 Suits),3,2,1,4,1
Omni (4 Suits),4,2,1,1,1
Omni (5 Suits),3,1,1,8,1
Omni (5 Suits),4,1,1,7,1
Omni (5 Suits),5,6,1,1,1
Omni (6 Suits),3,2,1,8,1
Omni (6 Suits),6,7,1,2,1
Pink & Brown (5 Suits),3,4,1,1,1
Pink & Brown (6 Suits),5,3,1,2,1
Pink & Omni (6 Suits),2,5,1,1,1
Pink & Prism (5 Suits),3,9,1,2,1
Pink & White (4 Suits),3,1,1,1,1
Pink & White (5 Suits),3,2,1,2,1
Pink & White (6 Suits),3,3,1,2,1
Pink (3 Suits),2,2,1,2,1
Pink (3 Suits),3,1,1,3,1
Pink (3 Suits),4,5,1,3,1
Pink (4 Suits),2,4,1,1,1
Pink (4 Suits),3,1,1,2,1
Pink (4 Suits),4,4,1,7,1
Pink (5 Suits),2,9,1,1,1
Pink (5 Suits),3,3,1,13,1
Pink (5 Suits),4,6,1,1,1
Pink (5 Suits),5,9,1,1,1
Pink (6 Suits),3,3,1,5,1
Pink (6 Suits),4,6,1,7,1
Pink-Fives (4 Suits),3,4,1,1,1
Prism (3 Suits),3,1,1,2,1
Prism (4 Suits),2,2,1,1,1
Prism (4 Suits),3,1,1,1,1
Prism (4 Suits),4,1,1,2,1
Prism (5 Suits),3,5,1,1,1
Prism (5 Suits),5,6,1,1,1
Prism (6 Suits),5,2,1,1,1
Rainbow & Brown (4 Suits),3,2,1,3,1
Rainbow & Brown (5 Suits),4,1,1,1,1
Rainbow & Brown (6 Suits),5,4,1,2,1
Rainbow & Light Pink (4 Suits),4,3,1,1,1
Rainbow & Pink (4 Suits),3,2,1,3,1
Rainbow & Pink (5 Suits),3,7,1,5,1
Rainbow & Pink (5 Suits),4,2,1,2,1
Rainbow & Prism (5 Suits),4,1,1,1,1
Rainbow & White (5 Suits),3,5,1,3,1
Rainbow & White (5 Suits),4,4,1,9,1
Rainbow & White (6 Suits),3,7,1,5,1
Rainbow & White (6 Suits),4,5,1,1,1
Rainbow (3 Suits),2,2,1,8,1
Rainbow (3 Suits),3,3,1,7,1
Rainbow (3 Suits),4,1,1,8,1
Rainbow (4 Suits),2,1,1,1,1
Rainbow (4 Suits),3,2,1,2,1
Rainbow (4 Suits),4,1,1,5,1
Rainbow (5 Suits),2,4,1,2,1
Rainbow (5 Suits),3,1,1,12,1
Rainbow (5 Suits),4,13,1,2,1
Rainbow (5 Suits),5,1,1,4,1
Rainbow (5 Suits),6,3,1,4,1
Rainbow (6 Suits),2,3,1,4,1
Rainbow (6 Suits),3,8,1,3,1
Rainbow (6 Suits),4,4,1,4,1
Rainbow (6 Suits),5,38,1,2,1
Special Mix (5 Suits),3,7,1,2,1
Throw It in a Hole (4 Suits),3,1,1,2,1
Up or Down & Brown (5 Suits),4,2,1,3,1
Up or Down & Rainbow (5 Suits),3,4,1,1,1
Up or Down & White (6 Suits),4,2,1,1,1
Up or Down (5 Suits),3,1,1,4,1
Up or Down (5 Suits),4,3,1,18,1
Up or Down (6 Suits),3,3,1,5,1
Up or Down (6 Suits),4,3,1,11,1
Very Ambiguous (6 Suits),3,10,1,6,1
White & Brown (5 Suits),3,9,1,1,1
White (3 Suits),2,8,1,1,1
White (3 Suits),3,2,1,1,1
