3 Suits,3,3,1,2,1
3 Suits,4,8,1,2,1
4 Suits,3,1,1,1,1
4 Suits,4,2,1,1,1
4 Suits,5,1,1,2,1
6 Suits,4,1,1,2,1
Black (5 Suits),2,2,1,8,1
Black (5 Suits),3,28,1,6,1
Black (5 Suits),4,18,1,7,1
Black (6 Suits),3,22,1,1,1
Brown (3 Suits),3,8,1,3,1
Gray (5 Suits),3,3,1,2,1
Light Pink (6 Suits),3,2,1,2,1
No Variant,2,7,1,2,1
No Variant,3,3,1,4,1
No Variant,4,1,1,8,1
No Variant,5,4,1,2,1
Omni (5 Suits),5,1,1,3,1
Rainbow (4 Suits),3,8,1,3,1
Rainbow (4 Suits),4,1,1,2,1
Rainbow (5 Suits),4,2,1,6,1
Rainbow (5 Suits),6,1,1,7,1
Rainbow (6 Suits),4,5,1,4,1
White (5 Suits),3,1,1,1,1
White (5 Suits),4,2,1,2,1
White (5 Suits),5,2,1,3,1
White (6 Suits),4,2,1,4,1
