3 Suits,2,4,1,1,1
3 Suits,4,1,1,6,1
4 Suits,3,1,1,1,1
4 Suits,4,2,1,1,1
6 Suits,3,1,1,5,1
6 Suits,4,5,1,22,1
6 Suits,5,5,1,3,1
6 Suits,6,6,1,3,1
Black (6 Suits),4,4,1,8,1
Dual-Color (6 Suits),3,1,1,1,1
Muddy Rainbow (5 Suits),3,1,1,1,1
No Variant,2,8,1,15,1
No Variant,3,9,1,7,1
No Variant,4,5,1,13,1
No Variant,5,15,1,8,1
No Variant,6,17,1,6,1
Pink (5 Suits),2,1,1,1,1
Pink (5 Suits),4,11,1,8,1
Pink (5 Suits),5,2,1,1,1
Pink (6 Suits),6,3,1,9,1
Prism (5 Suits),4,5,1,2,1
Prism (6 Suits),3,1,1,1,1
Prism (6 Suits),4,3,1,1,1
Prism (6 Suits),5,14,1,9,1
Rainbow & Prism (6 Suits),5,1,1,3,1
Rainbow (3 Suits),3,3,1,1,1
Rainbow (5 Suits),4,3,1,6,1
Rainbow (6 Suits),2,6,1,3,1
Rainbow (6 Suits),3,5,1,7,1
Rainbow (6 Suits),4,12,1,3,1
Rainbow (6 Suits),5,9,1,6,1
Throw It in a Hole (5 Suits),3,2,1,5,1
White (4 Suits),3,2,1,3,1
White (5 Suits),3,1,1,3,1
White (5 Suits),4,1,1,6,1
White-Fives (6 Suits),4,1,1,1,1
