3 Suits,2,1,1,2,1
3 Suits,3,4,1,2,1
3 Suits,4,2,1,1,1
4 Suits,2,1,1,3,1
4 Suits,3,1,1,2,1
4 Suits,4,1,1,3,1
4 Suits,5,6,1,2,1
4 Suits,6,6,1,2,1
6 Suits,2,24,1,4,1
6 Suits,3,1,1,2,1
6 Suits,4,3,1,15,1
6 Suits,5,2,1,4,1
Ambiguous (6 Suits),2,12,1,2,1
Ambiguous (6 Suits),3,2,1,1,1
Ambiguous (6 Suits),4,2,1,1,1
Ambiguous (6 Suits),5,3,1,4,1
Black & Rainbow (6 Suits),4,4,1,1,1
Black (5 Suits),3,15,1,10,1
Black (5 Suits),4,14,1,9,1
Black (6 Suits),2,66,1,31,1
Black (6 Suits),3,3,1,6,1
Black (6 Suits),4,5,1,9,1
Black (6 Suits),5,21,1,31,1
Brown (3 Suits),4,5,1,3,1
Brown (4 Suits),3,1,1,1,1
Brown (6 Suits),5,3,1,3,1
Clue Starved (5 Suits),3,2,1,2,1
Color Blind (6 Suits),3,9,1,6,1
Color Blind (6 Suits),4,2,1,1,1
Color Blind (6 Suits),5,4,1,2,1
Dark Rainbow (5 Suits),2,2,1,1,1
Dark Rainbow (5 Suits),3,1,1,4,1
Dark Rainbow (5 Suits),4,6,1,3,1
Dark Rainbow (6 Suits),3,8,1,1,1
Dark Rainbow (6 Suits),4,1,1,15,1
Dual-Color & Rainbow (6 Suits),3,1,1,5,1
Dual-Color & Rainbow (6 Suits),4,3,1,1,1
Dual-Color & Rainbow (6 Suits),5,7,1,2,1
Dual-Color (3 Suits),4,7,1,2,1
Dual-Color (5 Suits),3,3,1,1,1
Dual-Color (5 Suits),4,3,1,4,1
Dual-Color (6 Suits),3,4,1,5,1
Dual-Color (6 Suits),4,5,1,5,1
Dual-Color (6 Suits),5,2,1,4,1
Dual-Color Mix,3,2,1,10,1
Duck (5 Suits),3,10,1,11,1
Muddy Rainbow (5 Suits),3,5,1,4,1
No Variant,2,5,1,3,1
No Variant,3,1,1,2,1
No Variant,4,4,1,3,1
No Variant,5,4,1,3,1
No Variant,6,8,1,4,1
Pink (4 Suits),3,1,1,1,1
Pink (5 Suits),5,3,1,1,1
Pink (6 Suits),2,2,1,1,1
Pink-Fives (6 Suits),3,3,1,3,1
Prism (6 Suits),3,2,1,2,1
Rainbow & White (5 Suits),3,1,1,4,1
Rainbow (3 Suits),2,1,1,1,1
Rainbow (3 Suits),4,6,1,5,1
Rainbow (4 Suits),4,5,1,7,1
Rainbow (4 Suits),5,8,1,4,1
Rainbow (5 Suits),3,1,1,2,1
Rainbow (5 Suits),4,1,1,2,1
Rainbow (5 Suits),5,13,1,6,1
Rainbow (5 Suits),6,8,1,2,1
Rainbow (6 Suits),2,36,1,8,1
Rainbow (6 Suits),3,4,1,7,1
Rainbow (6 Suits),4,12,1,1,1
Rainbow (6 Suits),5,1,1,3,1
Rainbow (6 Suits),6,4,1,3,1
Reversed (6 Suits),4,4,1,4,1
Up or Down & Brown (5 Suits),3,6,1,2,1
Up or Down & Pink (5 Suits),3,1,1,1,1
Up or Down & White (5 Suits),2,1,1,3,1
Up or Down & White (6 Suits),2,2,1,3,1
Up or Down & White (6 Suits),3,8,1,2,1
Up or Down (5 Suits),3,7,1,4,1
Up or Down (6 Suits),3,9,1,2,1
Very Ambiguous (6 Suits),3,10,1,1,1
Very Ambiguous (6 Suits),4,3,1,6,1
White (3 Suits),2,1,1,1,1
White (3 Suits),3,1,1,1,1
White (4 Suits),3,2,1,7,1
White (4 Suits),4,3,1,2,1
White (4 Suits),5,6,1,1,1
White (5 Suits),3,1,1,4,1
White (5 Suits),4,8,1,5,1
White (5 Suits),5,7,1,2,1
White Reversed (6 Suits),2,76,1,6,1
White Reversed (6 Suits),3,28,1,28,1
White Reversed (6 Suits),4,20,1,20,1
