4 Suits,2,3,1,2,1
4 Suits,3,9,1,2,1
6 Suits,2,20,1,10,1
6 Suits,3,15,1,1,1
6 Suits,4,5,1,1,1
Black & Pink (5 Suits),3,2,1,1,1
Black (6 Suits),2,3,1,14,1
No Variant,2,19,1,10,1
No Variant,3,7,1,1,1
No Variant,4,1,1,1,1
No Variant,5,9,1,2,1
No Variant,6,1,1,5,1
Pink (4 Suits),4,3,1,1,1
Prism (5 Suits),3,4,1,4,1
Rainbow (4 Suits),2,4,1,1,1
Rainbow (5 Suits),3,2,1,1,1
Rainbow (5 Suits),4,1,1,2,1
Rainbow (6 Suits),3,1,1,4,1
Up or Down (5 Suits),3,2,1,3,1
White (5 Suits),3,1,1,1,1
White (6 Suits),2,4,1,9,1
White (6 Suits),4,4,1,5,1
