4 Suits,6,1,1,3,1
6 Suits,2,1,1,1,1
6 Suits,4,1,1,1,1
6 Suits,5,3,1,7,1
6 Suits,6,3,1,1,1
Alternating Clues & White (4 Suits),3,3,1,3,1
Ambiguous & Dual-Color,4,2,1,1,1
Black & Pink (5 Suits),4,3,1,8,1
Black (6 Suits),3,3,1,1,1
Brown & Prism (5 Suits),5,1,1,2,1
Brown (5 Suits),3,1,1,4,1
Brown (5 Suits),4,1,1,2,1
Brown (5 Suits),5,1,1,1,1
Clue Starved & White (5 Suits),3,3,1,15,1
Clue Starved (5 Suits),3,8,1,1,1
Cocoa Rainbow (5 Suits),3,1,1,1,1
Dark Prism (5 Suits),3,4,1,7,1
Dark Prism (6 Suits),4,4,1,3,1
Dark Rainbow (5 Suits),4,2,1,4,1
Extremely Ambiguous (5 Suits),4,2,1,2,1
Gray (5 Suits),4,3,1,1,1
Gray (6 Suits),3,3,1,4,1
Light Pink (4 Suits),4,1,1,1,1
Light Pink (5 Suits),3,1,1,1,1
Light Pink (5 Suits),5,1,1,4,1
Light Pink (6 Suits),5,1,1,1,1
Muddy Rainbow (5 Suits),3,1,1,2,1
Muddy Rainbow (6 Suits),5,5,1,2,1
No Variant,3,4,1,1,1
No Variant,4,13,1,4,1
No Variant,5,4,1,24,1
No Variant,6,2,1,3,1
Omni (4 Suits),3,2,1,2,1
Omni (5 Suits),3,1,1,3,1
Omni (6 Suits),5,1,1,7,1
Pink & Prism (4 Suits),3,1,1,1,1
Pink (4 Suits),3,1,1,1,1
Pink (5 Suits),3,9,1,3,1
Pink (5 Suits),4,2,1,1,1
Pink (6 Suits),3,2,1,1,1
Pink (6 Suits),4,2,1,1,1
Pink-Fives & Brown (5 Suits),4,2,1,2,1
Prism (3 Suits),3,2,1,1,1
Prism (4 Suits),3,1,1,1,1
Prism (5 Suits),3,1,1,6,1
Prism (5 Suits),4,1,1,1,1
Prism (5 Suits),5,2,1,4,1
Prism (6 Suits),3,1,1,3,1
Rainbow & Brown (4 Suits),3,1,1,2,1
Rainbow & Brown (5 Suits),4,1,1,2,1
Rainbow & Pink (6 Suits),4,4,1,1,1
Rainbow & White (4 Suits),4,2,1,2,1
Rainbow & White (5 Suits),3,1,1,6,1
Rainbow & White (5 Suits),4,1,1,1,1
Rainbow & White (6 Suits),4,1,1,1,1
Rainbow & White (6 Suits),5,1,1,1,1
Rainbow (4 Suits),3,2,1,1,1
Rainbow (5 Suits),4,1,1,4,1
Rainbow (5 Suits),5,4,1,4,1
Rainbow (5 Suits),6,1,1,7,1
Rainbow (6 Suits),4,2,1,5,1
Rainbow (6 Suits),5,5,1,5,1
Rainbow (6 Suits),6,7,1,1,1
Rainbow Reversed (3 Suits),3,1,1,5,1
Reversed (5 Suits),4,2,1,3,1
Throw It in a Hole (5 Suits),4,2,1,1,1
Up or Down & Brown (5 Suits),4,2,1,3,1
Up or Down & Light Pink (5 Suits),3,1,1,2,1
Up or Down & Prism (5 Suits),4,1,1,1,1
Up or Down (5 Suits),3,1,1,6,1
White & Brown (5 Suits),4,2,1,1,1
White (5 Suits),3,2,1,1,1
White (6 Suits),3,1,1,12,1
