3 Suits,2,2,1,2,1
4 Suits,4,2,1,2,1
6 Suits,4,2,1,1,1
Brown (6 Suits),4,2,1,1,1
No Variant,3,3,1,4,1
No Variant,4,4,1,6,1
No Variant,5,6,1,6,1
Omni (6 Suits),3,1,1,4,1
Pink (5 Suits),3,3,1,1,1
Pink (6 Suits),3,1,1,1,1
Prism (4 Suits),3,1,1,2,1
Prism (5 Suits),3,3,1,2,1
Prism (5 Suits),4,1,1,2,1
Prism (6 Suits),3,12,1,1,1
Rainbow & Prism (5 Suits),3,1,1,1,1
Rainbow & Prism (5 Suits),4,1,1,1,1
Rainbow & Prism (6 Suits),3,2,1,1,1
Rainbow (3 Suits),2,1,1,3,1
Rainbow (4 Suits),3,4,1,2,1
Rainbow (5 Suits),2,2,1,3,1
Rainbow (5 Suits),6,2,1,3,1
Rainbow (6 Suits),3,1,1,1,1
Rainbow Reversed (5 Suits),4,2,1,2,1
Up or Down (5 Suits),4,1,1,1,1
White (4 Suits),3,2,1,3,1
White (6 Suits),3,7,1,1,1
