3 Suits,3,1,1,7,1
4 Suits,3,2,1,5,1
6 Suits,2,1,1,4,1
6 Suits,3,3,1,7,1
6 Suits,4,2,1,1,1
6 Suits,5,2,1,4,1
Black (5 Suits),3,9,1,20,1
Black (6 Suits),3,4,1,9,1
Black (6 Suits),4,6,1,8,1
Brown (5 Suits),5,4,1,1,1
Light Pink (4 Suits),2,1,1,2,1
No Variant,2,3,1,1,1
No Variant,3,1,1,1,1
No Variant,4,1,1,4,1
No Variant,5,3,1,1,1
Omni (5 Suits),4,3,1,1,1
Pink & White (6 Suits),3,1,1,1,1
Pink (5 Suits),3,4,1,4,1
Pink (5 Suits),4,5,1,2,1
Pink (6 Suits),4,1,1,2,1
Rainbow & White (5 Suits),3,3,1,4,1
Rainbow (3 Suits),3,7,1,3,1
Rainbow (4 Suits),4,3,1,3,1
Rainbow (5 Suits),3,1,1,3,1
Rainbow (5 Suits),4,7,1,8,1
Rainbow (5 Suits),5,3,1,6,1
Rainbow (6 Suits),2,15,1,5,1
Rainbow (6 Suits),3,11,1,6,1
Rainbow (6 Suits),4,5,1,16,1
Rainbow (6 Suits),5,1,1,1,1
White (4 Suits),3,1,1,2,1
White (4 Suits),4,1,1,1,1
White (5 Suits),2,1,1,1,1
White (5 Suits),3,1,1,5,1
White (5 Suits),4,4,1,1,1
White (5 Suits),5,3,1,2,1
White (6 Suits),2,2,1,1,1
White (6 Suits),4,7,1,2,1
White (6 Suits),5,1,1,5,1
