3 Suits,4,7,1,3,1
4 Suits,3,1,1,13,1
4 Suits,4,1,1,1,1
4 Suits,5,4,1,15,1
6 Suits,3,1,1,4,1
6 Suits,4,3,1,4,1
6 Suits,5,6,1,4,1
6 Suits,6,2,1,1,1
Black & Rainbow (6 Suits),4,2,1,2,1
Black & White (5 Suits),3,4,1,2,1
Black (5 Suits),4,6,1,6,1
Black (6 Suits),3,2,1,1,1
Black (6 Suits),5,18,1,22,1
Brown (3 Suits),3,3,1,6,1
Brown (3 Suits),4,5,1,2,1
Brown (4 Suits),4,1,1,3,1
Brown (5 Suits),3,1,1,11,1
Brown (6 Suits),4,3,1,1,1
Brown (6 Suits),5,1,1,2,1
Dark Rainbow (6 Suits),4,4,1,7,1
Dual-Color (5 Suits),4,1,1,2,1
Dual-Color (6 Suits),4,1,1,1,1
Muddy Rainbow (6 Suits),4,1,1,1,1
No Variant,3,1,1,3,1
No Variant,4,2,1,8,1
No Variant,5,3,1,45,1
No Variant,6,4,1,7,1
Null (4 Suits),4,2,1,3,1
Omni (5 Suits),3,2,1,5,1
Pink & Brown (4 Suits),3,1,1,1,1
Pink (3 Suits),3,12,1,4,1
Pink (3 Suits),4,3,1,1,1
Pink (4 Suits),3,1,1,1,1
Pink (4 Suits),4,2,1,5,1
Pink (5 Suits),3,8,1,2,1
Pink (5 Suits),5,4,1,3,1
Pink (6 Suits),3,3,1,1,1
Prism (6 Suits),3,2,1,2,1
Rainbow & Pink (3 Suits),4,7,1,4,1
Rainbow (3 Suits),2,2,1,2,1
Rainbow (3 Suits),3,2,1,4,1
Rainbow (3 Suits),4,4,1,2,1
Rainbow (4 Suits),3,3,1,7,1
Rainbow (4 Suits),4,4,1,6,1
Rainbow (5 Suits),3,1,1,2,1
Rainbow (5 Suits),4,7,1,2,1
Rainbow (6 Suits),3,1,1,4,1
Rainbow (6 Suits),4,4,1,2,1
Rainbow (6 Suits),6,4,1,5,1
Special Mix (5 Suits),4,2,1,15,1
Up or Down (5 Suits),4,3,1,7,1
Up or Down (6 Suits),4,5,1,12,1
White (3 Suits),4,2,1,1,1
White (4 Suits),4,3,1,3,1
White (5 Suits),4,2,1,1,1
White (5 Suits),5,1,1,1,1
White (6 Suits),4,4,1,7,1
White Reversed (6 Suits),4,20,1,1,1
