3 Suits,4,4,1,4,1
4 Suits,3,2,1,1,1
4 Suits,4,1,1,5,1
6 Suits,2,1,1,68,1
6 Suits,3,4,1,1,1
6 Suits,4,4,1,3,1
6 Suits,5,7,1,2,1
Black (6 Suits),3,2,1,2,1
Black (6 Suits),4,6,1,151,1
Black (6 Suits),5,8,1,2,1
Brown (3 Suits),4,1,1,3,1
Brown (5 Suits),3,1,1,4,1
Brown (5 Suits),4,2,1,1,1
Brown (5 Suits),6,5,1,1,1
Light Pink (6 Suits),4,3,1,2,1
No Variant,2,4,1,1,1
No Variant,3,3,1,3,1
No Variant,4,2,1,2,1
No Variant,5,5,1,3,1
No Variant,6,15,1,9,1
Null (5 Suits),3,2,1,3,1
Omni (6 Suits),4,1,1,1,1
Omni (6 Suits),5,1,1,2,1
Rainbow & Pink (4 Suits),3,3,1,1,1
Rainbow & Pink (4 Suits),4,1,1,3,1
Rainbow & White (5 Suits),4,2,1,2,1
Rainbow (4 Suits),3,1,1,7,1
Rainbow (5 Suits),3,2,1,4,1
Rainbow (5 Suits),4,9,1,7,1
Rainbow (5 Suits),5,17,1,4,1
Rainbow (6 Suits),2,3,1,55,1
Rainbow (6 Suits),3,4,1,4,1
Rainbow (6 Suits),4,8,1,1,1
Rainbow (6 Suits),5,5,1,51,1
Rainbow-Ones (5 Suits),4,1,1,3,1
Special Mix (5 Suits),4,4,1,1,1
Throw It in a Hole (5 Suits),4,5,1,1,1
Up or Down & Rainbow (5 Suits),3,2,1,2,1
Up or Down (5 Suits),3,1,1,12,1
White (4 Suits),3,1,1,1,1
White (5 Suits),3,2,1,3,1
White (5 Suits),6,1,1,2,1
White (6 Suits),6,4,1,1,1
