4 Suits,2,4,1,1,1
6 Suits,2,8,1,1,1
6 Suits,3,1,1,2,1
Black & White (5 Suits),2,7,1,4,1
Black (5 Suits),2,1,1,3,1
Black (5 Suits),4,18,1,16,1
Black (6 Suits),3,11,1,7,1
Black (6 Suits),5,6,1,4,1
Brown (6 Suits),3,6,1,1,1
Dark Brown (5 Suits),2,8,1,8,1
Dark Prism (5 Suits),2,4,1,4,1
Dark Rainbow (6 Suits),2,17,1,4,1
Dual-Color (5 Suits),3,1,1,6,1
Dual-Color (6 Suits),3,3,1,2,1
Gray (5 Suits),2,1,1,8,1
Muddy Rainbow (5 Suits),3,1,1,1,1
No Variant,2,5,1,3,1
No Variant,3,7,1,3,1
No Variant,4,4,1,9,1
No Variant,5,11,1,9,1
Pink & Brown (4 Suits),3,1,1,1,1
Pink (5 Suits),2,1,1,2,1
Pink (5 Suits),3,2,1,2,1
Pink (6 Suits),3,5,1,2,1
Prism (5 Suits),2,4,1,1,1
Prism (5 Suits),6,1,1,1,1
Rainbow & Pink (5 Suits),3,2,1,2,1
Rainbow & Pink (6 Suits),3,5,1,2,1
Rainbow & White (6 Suits),3,4,1,1,1
Rainbow (3 Suits),2,1,1,1,1
Rainbow (4 Suits),2,2,1,1,1
Rainbow (5 Suits),2,4,1,1,1
Rainbow (5 Suits),3,2,1,3,1
Rainbow (6 Suits),2,9,1,1,1
Rainbow (6 Suits),3,13,1,2,1
Rainbow (6 Suits),5,4,1,2,1
Up or Down (5 Suits),3,5,1,2,1
White (4 Suits),3,1,1,2,1
White (5 Suits),2,2,1,1,1
