4 Suits,4,1,1,1,1
6 Suits,2,21,1,21,1
6 Suits,3,1,1,9,1
6 Suits,4,1,1,1,1
6 Suits,5,7,1,10,1
Ambiguous (6 Suits),4,3,1,2,1
Black & Rainbow (6 Suits),3,13,1,2,1
Black (5 Suits),4,5,1,3,1
Black (6 Suits),2,33,1,97,1
Black (6 Suits),3,9,1,21,1
Black (6 Suits),4,27,1,3,1
Brown (5 Suits),6,1,1,2,1
Dark Rainbow (6 Suits),3,7,1,22,1
Dark Rainbow (6 Suits),4,37,1,1,1
Dual-Color & Rainbow (6 Suits),3,1,1,1,1
Dual-Color (6 Suits),3,2,1,1,1
Dual-Color (6 Suits),4,2,1,5,1
No Variant,2,2,1,2,1
No Variant,3,9,1,4,1
No Variant,4,15,1,3,1
No Variant,5,7,1,1,1
Pink (6 Suits),6,3,1,1,1
Rainbow (4 Suits),3,2,1,1,1
Rainbow (5 Suits),4,13,1,1,1
Rainbow (5 Suits),5,1,1,1,1
Rainbow (6 Suits),2,3,1,10,1
Rainbow (6 Suits),3,8,1,23,1
Rainbow (6 Suits),4,4,1,19,1
Rainbow (6 Suits),5,38,1,10,1
White & Prism (6 Suits),4,8,1,1,1
White (3 Suits),4,4,1,2,1
White (5 Suits),3,16,1,1,1
White (5 Suits),4,7,1,1,1
