variant,attempts,won
White & Omni (5 Suits),5,1
Muddy Rainbow (5 Suits),4,1
Light Pink (5 Suits),3,1
Up or Down & Pink (5 Suits),3,1
Up or Down (5 Suits),2,1
White (5 Suits),2,1
No Variant,1,1
Rainbow-Ones (5 Suits),1,1
Rainbow-Ones & Pink (5 Suits),1,1
Ambiguous & White (5 Suits),1,1
Omni-Fives & Muddy Rainbow (5 Suits),1,1
Omni (5 Suits),1,1
White-Ones & White (5 Suits),1,1
Rainbow & Null (5 Suits),4,0
Rainbow (5 Suits),3,0
Brown (5 Suits),3,0
White & Light Pink (5 Suits),2,0
Pink (5 Suits),1,0
Pink & White (5 Suits),1,0
