Omni & Muddy Rainbow (6 Suits),3,1
Null-Ones (6 Suits),2,1
Brown (6 Suits),2,1
Brown & Light Pink (6 Suits),2,1
Pink & Light Pink (6 Suits),1,1
Dual-Color & Pink (6 Suits),1,1
Reversed (6 Suits),1,1
Up or Down & Rainbow (6 Suits),1,1
Rainbow & Light Pink (6 Suits),1,1
Extremely Ambiguous (6 Suits),3,0
Up or Down & White (6 Suits),1,0
Rainbow & Pink (6 Suits),1,0
Brown-Ones & Rainbow (6 Suits),1,0
Rainbow & Brown (6 Suits),1,0
Brown-Fives & Prism (6 Suits),1,0
Omni & Light Pink (6 Suits),1,0
White & Brown (6 Suits),1,0
Rainbow-Ones & Prism (6 Suits),1,0
White-Fives & Brown (6 Suits),1,0
White & Muddy Rainbow (6 Suits),1,0
Up or Down & Prism (6 Suits),1,0
Pink-Ones & Light Pink (6 Suits),1,0
Rainbow-Fives & Brown (6 Suits),1,0
