variant,attempts,won
Black & Rainbow (5 Suits),4,1
Dark Prism Reversed (5 Suits),4,1
Black & Muddy Rainbow (5 Suits),2,1
Rainbow & Dark Omni (5 Suits),1,1
Brown & Gray (5 Suits),1,1
Light Pink & Dark Brown (5 Suits),1,1
White & Dark Pink (5 Suits),5,0
Black & Pink (5 Suits),3,0
Omni-Fives & Dark Rainbow (5 Suits),3,0
Black (5 Suits),2,0
White-Ones & Black (5 Suits),2,0
Light Pink & Dark Pink (5 Suits),2,0
Brown-Fives & Dark Omni (5 Suits),2,0
Dark Prism (5 Suits),1,0
Special Mix (5 Suits),1,0
Dark Rainbow (5 Suits),1,0
Pink & Dark Rainbow (5 Suits),1,0
Deceptive-Ones & Gray Pink (5 Suits),1,0
Omni-Fives & Gray (5 Suits),1,0
Rainbow & Dark Brown (5 Suits),1,0
Rainbow-Ones & Black (5 Suits),1,0
Pink & Dark Prism (5 Suits),1,0
Pink & Gray Pink (5 Suits),1,0
Black & Brown (5 Suits),1,0
Black & Null (5 Suits),1,0
Prism & Gray (5 Suits),1,0
White-Ones & Dark Omni (5 Suits),1,0
Ambiguous & Dark Rainbow (5 Suits),1,0
Brown & Dark Rainbow (5 Suits),1,0
