variant,attempts,won
Dark Prism Reversed (6 Suits),5,1
White & Dark Rainbow (6 Suits),3,1
Pink & Light Pink (6 Suits),3,1
Up or Down & Muddy Rainbow (6 Suits),3,1
Muddy-Rainbow-Fives & Dark Prism (6 Suits),3,1
Rainbow & Cocoa Rainbow (6 Suits),2,1
White & Dark Brown (6 Suits),2,1
Rainbow-Ones (6 Suits),1,1
Pink & Cocoa Rainbow (6 Suits),1,1
Black & Muddy Rainbow (6 Suits),1,1
Brown & Omni (6 Suits),1,1
White & Cocoa Rainbow (6 Suits),1,1
Omni & Prism (6 Suits),1,1
Brown & Cocoa Rainbow (6 Suits),1,1
Brown & Gray (6 Suits),1,1
Pink & Gray Pink (6 Suits),5,0
Extremely Ambiguous & Light Pink (6 Suits),3,0
Cocoa Rainbow (6 Suits),2,0
Dual-Color & Gray (6 Suits),2,0
Rainbow & Gray (6 Suits),2,0
Clue Starved (6 Suits),2,0
Dual-Color & Cocoa Rainbow (6 Suits),2,0
Brown & Dark Prism (6 Suits),2,0
White-Fives & Brown (6 Suits),2,0
Light Pink & Dark Brown (6 Suits),2,0
Black & Dark Pink (6 Suits),2,0
Muddy-Rainbow-Fives & Black (6 Suits),1,0
Muddy Rainbow & Dark Brown (6 Suits),1,0
Brown & Dark Omni (6 Suits),1,0
Muddy Rainbow & Dark Omni (6 Suits),1,0
