Null (5 Suits),12,1
Dual-Color (5 Suits),5,1
No Variant,3,1
Clue Starved (5 Suits),3,1
Pink (5 Suits),2,1
Rainbow & Pink (5 Suits),2,1
Up or Down (5 Suits),2,1
Pink & Light Pink (5 Suits),2,1
Pink & Brown (5 Suits),1,1
White-Ones & Brown (5 Suits),1,1
Pink & White (5 Suits),1,1
Muddy Rainbow (5 Suits),1,1
Rainbow & Omni (5 Suits),1,1
Rainbow & Brown (5 Suits),7,0
Brown (5 Suits),4,0
Rainbow (5 Suits),4,0
Prism (5 Suits),4,0
Brown & Light Pink (5 Suits),3,0
Rainbow & White (5 Suits),1,0
Duck (5 Suits),1,0
Pink & Omni (5 Suits),1,0
