variant,attempts,won
Up or Down (6 Suits),3,1
Light Pink (6 Suits),2,1
Black (6 Suits),2,1
White (6 Suits),2,1
Rainbow-Ones & White (6 Suits),2,1
Rainbow & White (6 Suits),1,1
Rainbow & Pink (6 Suits),1,1
Rainbow-Ones (6 Suits),1,1
Dual-Color & Light Pink (6 Suits),1,1
Dark Rainbow (6 Suits),16,0
Black & Rainbow (6 Suits),6,0
Ambiguous & Dual-Color,5,0
Dark Brown (6 Suits),4,0
Dark Pink (6 Suits),4,0
Pink & Omni (6 Suits),4,0
Black & Brown (6 Suits),3,0
Pink & Dark Rainbow (6 Suits),3,0
Omni (6 Suits),2,0
White-Ones (6 Suits),2,0
White-Fives (6 Suits),2,0
Black & Pink (6 Suits),1,0
Rainbow (6 Suits),1,0
Pink-Fives (6 Suits),1,0
