variant,attempts,won
White (5 Suits),3,1
Clue Starved & Pink (5 Suits),3,1
Duck (5 Suits),3,1
Rainbow & Null (5 Suits),3,1
Null (5 Suits),3,1
Rainbow & White (5 Suits),2,1
Omni (5 Suits),2,1
Totally Blind (5 Suits),2,1
White & Prism (5 Suits),2,1
Omni & Null (5 Suits),2,1
Pink & Null (5 Suits),2,1
Null & Prism (5 Suits),2,1
Clue Starved & Omni (5 Suits),2,1
Clue Starved & Prism (5 Suits),2,1
Throw It in a Hole & Null (5 Suits),2,1
No Variant,1,1
White & Light Pink (5 Suits),1,1
White & Null (5 Suits),1,1
Throw It in a Hole & White (5 Suits),1,1
Null & Light Pink (5 Suits),1,1
Null & Muddy Rainbow (5 Suits),1,1
Rainbow (5 Suits),1,1
Prism (5 Suits),1,1
Pink (5 Suits),1,1
Light Pink (5 Suits),1,1
Brown (5 Suits),1,1
Muddy Rainbow (5 Suits),1,1
Rainbow & Prism (5 Suits),1,1
Clue Starved & Light Pink (5 Suits),1,1
Clue Starved & Brown (5 Suits),1,1
Clue Starved & White (5 Suits),4,0
Throw It in a Hole & Light Pink (5 Suits),1,0
Rainbow & Pink (5 Suits),1,0
