White-Ones & Muddy Rainbow (5 Suits),3,1
Up or Down & Pink (5 Suits),2,1
Pink-Fives & Brown (5 Suits),1,1
White-Ones & Brown (5 Suits),1,1
Muddy Rainbow & Light Pink (5 Suits),1,1
Rainbow-Fives (5 Suits),1,1
Ambiguous & White (5 Suits),1,1
Light-Pink-Fives & Muddy Rainbow (5 Suits),1,1
Brown-Fives & Rainbow (5 Suits),3,0
Up or Down & Null (5 Suits),3,0
Muddy Rainbow & Prism (5 Suits),3,0
Omni (5 Suits),2,0
White & Muddy Rainbow (5 Suits),2,0
No Variant,1,0
Rainbow & Light Pink (5 Suits),1,0
Rainbow Reversed (5 Suits),1,0
Rainbow-Ones & Omni (5 Suits),1,0
Up or Down & Muddy Rainbow (5 Suits),1,0
