variant,attempts,won
Up or Down (5 Suits),13,1
Gray (5 Suits),12,1
Muddy Rainbow & Prism (5 Suits),5,1
Black (6 Suits),4,1
Dark Rainbow (6 Suits),4,1
Cocoa Rainbow (5 Suits),4,1
Gray (6 Suits),4,1
Throw It in a Hole (6 Suits),4,1
Black & Prism (5 Suits),3,1
Dark Rainbow (5 Suits),3,1
Rainbow & Pink (5 Suits),3,1
Rainbow & Muddy Rainbow (6 Suits),3,1
Rainbow (6 Suits),2,1
Black (5 Suits),2,1
Black & Rainbow (5 Suits),2,1
Null (5 Suits),2,1
Up or Down & Rainbow (6 Suits),2,1
Omni (4 Suits),2,1
Clue Starved & White (5 Suits),2,1
Omni (6 Suits),2,1
Throw It in a Hole (4 Suits),2,1
Rainbow & Dark Pink (5 Suits),2,1
No Variant,1,1
Pink-Ones & Black (5 Suits),1,1
White-Ones & Brown (6 Suits),1,1
Gray Pink (5 Suits),1,1
Omni-Ones (5 Suits),1,1
White (6 Suits),1,1
Muddy Rainbow (6 Suits),1,1
Rainbow & White (5 Suits),1,1
Pink (5 Suits),1,1
Prism (5 Suits),1,1
Rainbow & White (6 Suits),1,1
Light Pink (5 Suits),1,1
Prism (4 Suits),1,1
Prism (6 Suits),1,1
White & Brown (5 Suits),1,1
Omni-Ones & Pink (6 Suits),1,1
Brown & Omni (5 Suits),1,1
Brown-Ones & Black (5 Suits),1,1
Rainbow & Brown (5 Suits),1,1
Black & Rainbow (6 Suits),12,0
6 Suits,4,0
Ambiguous Mix,3,0
Dark Prism (5 Suits),3,0
Dark Pink (6 Suits),3,0
Rainbow & Gray (6 Suits),3,0
Brown (6 Suits),2,0
Dark Brown (5 Suits),2,0
Deceptive-Ones & Black (6 Suits),2,0
Omni & Dark Brown (5 Suits),2,0
Black & Pink (5 Suits),2,0
Muddy Rainbow & Gray Pink (5 Suits),2,0
Cow & Pig (5 Suits),1,0
Pink-Ones & Black (6 Suits),1,0
Brown (5 Suits),1,0
Dark Prism (6 Suits),1,0
White (4 Suits),1,0
Up or Down & Rainbow (5 Suits),1,0
Rainbow & Omni (5 Suits),1,0
Cocoa Rainbow (6 Suits),1,0
Muddy Rainbow (5 Suits),1,0
3 Suits,1,0
Special Mix (5 Suits),1,0
4 Suits,1,0
Muddy Rainbow & Dark Rainbow (6 Suits),1,0
Pink & Omni (5 Suits),1,0
Black & White (6 Suits),1,0
Brown & Prism (6 Suits),1,0
Rainbow (5 Suits),1,0
Brown & Gray (5 Suits),1,0
Brown & Dark Rainbow (5 Suits),1,0
White-Ones & Omni (6 Suits),1,0
Black & White (5 Suits),1,0
Omni (5 Suits),1,0
