Black & Muddy Rainbow (5 Suits),18,1
Light Pink & Dark Null (5 Suits),14,1
Black & Pink (5 Suits),8,1
Black & Rainbow (5 Suits),6,1
Dark Prism (5 Suits),6,1
Black & White (5 Suits),6,1
Black & Prism (5 Suits),5,1
Dark Rainbow (5 Suits),4,1
Cocoa Rainbow (5 Suits),4,1
Black & Light Pink (5 Suits),4,1
Special Mix (5 Suits),3,1
Gray (5 Suits),3,1
Rainbow-Ones & Cocoa Rainbow (5 Suits),3,1
Black (5 Suits),2,1
Black & Omni (5 Suits),2,1
Dark Pink (5 Suits),1,1
Dark Brown (5 Suits),1,1
Gray Pink (5 Suits),1,1
Dark Omni (5 Suits),1,1
Dark Null (5 Suits),1,1
Black & Brown (5 Suits),1,1
Black & Null (5 Suits),1,1
Rainbow-Ones & Dark Prism (5 Suits),1,1
